Wurfl_Id,wurfl_device_id,wurfl_fall_back,brand_name,model_name,marketing_name,SubMethod_Displayed,SubMethod_SubscribedTo,SubMethod,Visits,Visits_ToOperatorSelection,Visits_ToOperatorSelectionOnly,Submission_OperatorSelection,Visits_ToLandingPage,Submissions,Subscribers,device_os,device_os_version,release_date,mobile_browser
1,generic,root,generic web browser,,,3,3,CLICKTAG,3,0,0,0,3,3,3,,,2002_january,
1,generic,root,generic web browser,,,11,16,WAPPIN>GooglePlay,1,0,0,0,1,1,1,,,2002_january,
1,generic,root,generic web browser,,,16,NULL,GooglePlay,323,0,0,0,323,0,0,,,2002_january,
1,generic,root,generic web browser,,,11,NULL,WAPPIN,505,0,0,0,505,10,0,,,2002_january,
1,generic,root,generic web browser,,,16,16,GooglePlay,4,0,0,0,4,4,4,,,2002_january,
1,generic,root,generic web browser,,,9,NULL,JAVA_APP,4,0,0,0,4,0,0,,,2002_january,
1,generic,root,generic web browser,,,NULL,NULL,NULL,658,0,0,0,658,0,0,,,2002_january,
1,generic,root,generic web browser,,,16,11,GooglePlay>WAPPIN,1,0,0,0,1,1,1,,,2002_january,
1,generic,root,generic web browser,,,3,NULL,CLICKTAG,5240,0,0,0,5240,0,0,,,2002_january,
1,generic,root,generic web browser,,,10,NULL,LINKPIN,11,0,0,0,11,3,0,,,2002_january,
1,generic,root,generic web browser,,,11,10,WAPPIN>LINKPIN,1,0,0,0,1,1,1,,,2002_january,
3,generic_xhtml,generic_mobile,generic web browser,,,16,16,GooglePlay,1,0,0,0,1,1,1,,,2002_july,
3,generic_xhtml,generic_mobile,generic web browser,,,10,NULL,LINKPIN,1,0,0,0,1,0,0,,,2002_july,
3,generic_xhtml,generic_mobile,generic web browser,,,11,16,WAPPIN>GooglePlay,1,0,0,0,1,1,1,,,2002_july,
3,generic_xhtml,generic_mobile,generic web browser,,,10,5,LINKPIN>SMS_WAP,1,0,0,0,1,1,1,,,2002_july,
3,generic_xhtml,generic_mobile,generic web browser,,,11,NULL,WAPPIN,104,0,0,0,104,3,0,,,2002_july,
3,generic_xhtml,generic_mobile,generic web browser,,,3,3,CLICKTAG,7,0,0,0,7,7,7,,,2002_july,
3,generic_xhtml,generic_mobile,generic web browser,,,16,NULL,GooglePlay,77,0,0,0,77,0,0,,,2002_july,
3,generic_xhtml,generic_mobile,generic web browser,,,NULL,NULL,NULL,4881,0,0,0,4881,0,0,,,2002_july,
3,generic_xhtml,generic_mobile,generic web browser,,,3,NULL,CLICKTAG,996,0,0,0,996,0,0,,,2002_july,
3,generic_xhtml,generic_mobile,generic web browser,,,3,6,CLICKTAG>SMS_DIRECT,1,0,0,0,1,1,1,,,2002_july,
11,nokia_generic_series60,nokia_generic_series40,Nokia,,,NULL,NULL,NULL,4798,0,0,0,4798,0,0,Symbian OS,,2002_january,Nokia
11,nokia_generic_series60,nokia_generic_series40,Nokia,,,9,9,JAVA_APP,1,0,0,0,1,1,1,Symbian OS,,2002_january,Nokia
