date,country,service,referrer,visits,installs,knownoc,launches,confirmation_displayed,confirmation_rejected,subscribers
2013-05-01,Azerbaijan,Ringtone,wap p9,94,1,1,1,0,0,0
2013-05-01,Azerbaijan,Ringtone,wap p61,17,0,0,0,0,0,0
2013-05-01,Azerbaijan,Ringtone,wap p42,6,0,0,0,0,0,0
2013-05-01,Azerbaijan,Ringtone,wap p41,45,0,0,0,0,0,0
2013-05-01,Azerbaijan,Ringtone,wap p30,74,13,12,11,0,0,6
2013-05-01,Azerbaijan,Ringtone,wap p266,1,0,0,0,0,0,0
2013-05-01,Azerbaijan,Ringtone,wap p264,5,0,0,0,0,0,0
2013-05-01,Azerbaijan,Ringtone,wap p261,11,4,4,3,0,0,3
2013-05-01,Azerbaijan,Ringtone,wap p255,211,4,4,2,0,0,3
2013-05-01,Azerbaijan,Ringtone,wap p244,5,0,0,0,0,0,0
2013-05-01,Azerbaijan,Ringtone,wap p238,5,0,0,0,0,0,0
2013-05-01,Azerbaijan,Ringtone,wap p223,1,0,0,0,0,0,0
2013-05-01,Azerbaijan,Ringtone,wap p222,1,0,0,0,0,0,0
2013-05-01,Azerbaijan,Ringtone,wap p199,1,0,0,0,0,0,0
2013-05-01,Azerbaijan,Ringtone,wap p173,55,5,5,4,0,0,3
2013-05-01,Azerbaijan,Ringtone,wap p155,171,5,5,5,0,0,4
2013-05-01,Azerbaijan,Ringtone,wap p11,400,3,3,0,0,0,0
2013-05-01,Azerbaijan,Ringtone,p263a,6,0,0,0,0,0,0
2013-05-01,Azerbaijan,Ringtone,p220,1,0,0,0,0,0,0
2013-05-01,Azerbaijan,Ringtone,P173a,5,0,0,0,0,0,0
2013-05-01,Azerbaijan,Ringtone,p117,1,0,0,0,0,0,0
2013-05-01,Azerbaijan,Video,wap p9,172,2,2,0,0,0,0
2013-05-01,Azerbaijan,Video,wap p61,38,2,2,0,0,0,0
2013-05-01,Azerbaijan,Video,wap p42i,1,0,0,0,0,0,0
2013-05-01,Azerbaijan,Video,wap p42,10,0,0,0,0,0,0
2013-05-01,Azerbaijan,Video,wap p41,92,1,1,1,0,0,0
2013-05-01,Azerbaijan,Video,wap p30,141,5,5,4,0,0,2
2013-05-01,Azerbaijan,Video,wap p266,5,0,0,0,0,0,0
2013-05-01,Azerbaijan,Video,wap p264,6,0,0,0,0,0,0
2013-05-01,Azerbaijan,Video,wap p261,23,0,0,0,0,0,0
2013-05-01,Azerbaijan,Video,wap p255,376,8,8,7,0,0,3
2013-05-01,Azerbaijan,Video,wap p244,13,2,2,2,0,0,0
2013-05-01,Azerbaijan,Video,wap p238,8,1,1,1,0,0,1
2013-05-01,Azerbaijan,Video,wap p223,15,0,0,0,0,0,0
2013-05-01,Azerbaijan,Video,wap p222c,1,0,0,0,0,0,0
2013-05-01,Azerbaijan,Video,wap p222,1,0,0,0,0,0,0
2013-05-01,Azerbaijan,Video,wap p199,1,0,0,0,0,0,0
2013-05-01,Azerbaijan,Video,wap p173,108,11,11,7,0,0,5
2013-05-01,Azerbaijan,Video,wap p155,362,4,4,3,0,0,2
2013-05-01,Azerbaijan,Video,wap p11,872,18,16,14,0,0,7
2013-05-01,Azerbaijan,Video,p29,1,0,0,0,0,0,0
2013-05-01,Azerbaijan,Video,p263a,16,0,0,0,0,0,0
2013-05-01,Azerbaijan,Video,p200,1,0,0,0,0,0,0
2013-05-01,Azerbaijan,Video,p175,1,0,0,0,0,0,0
2013-05-01,Azerbaijan,Video,P173a,6,0,0,0,0,0,0
2013-05-01,Bahrain,Ringtone,wap p264,4,0,0,0,0,0,0
2013-05-01,Bahrain,Ringtone,wap p261,25,3,3,3,2,1,1
2013-05-01,Bahrain,Ringtone,wap p255,36,0,0,0,0,0,0
2013-05-01,Bahrain,Ringtone,wap p173,106,6,6,4,4,2,4
2013-05-01,Bahrain,Ringtone,wap p155,171,3,3,3,2,0,2
2013-05-01,Bahrain,Ringtone,wap p130,1,0,0,0,0,0,0
2013-05-01,Bahrain,Ringtone,wap p11,23,0,0,0,0,0,0
2013-05-01,Iraq,Babelbay,wap p42b,18,1,1,1,0,0,0
2013-05-01,Iraq,Babelbay,wap p258b,462,19,19,14,10,1,9
2013-05-01,Iraq,Babelbay,wap p253,32,2,2,1,0,0,0
2013-05-01,Iraq,Babelbay,wap p244b,215,12,12,7,5,1,4
2013-05-01,Iraq,Babelbay,wap p236b,8,0,0,0,0,0,0
2013-05-01,Iraq,Babelbay,wap p233,1,1,1,1,0,0,0
2013-05-01,Iraq,Babelbay,wap p232b,1295,130,130,100,64,17,54
