date,country,service,visits,installs,knownoc,launches,confirmation_displayed,confirmation_rejected,subscribers
2013-05-01,Azerbaijan,Ringtone,1116,35,34,26,0,0,19
2013-05-01,Azerbaijan,Video,2270,54,52,39,0,0,20
2013-05-01,Bahrain,Ringtone,366,12,12,10,8,3,7
2013-05-01,Iraq,Babelbay,4360,247,246,181,113,30,95
2013-05-01,Iraq,Brain2Train,6,0,0,0,0,0,0
2013-05-01,Iraq,Ringtone,6598,399,395,297,201,81,155
2013-05-01,Iraq,Video,6231,418,417,322,234,90,186
2013-05-01,Jordan,Babelbay,4073,131,131,103,56,18,45
2013-05-01,Jordan,Video,26116,875,872,708,417,188,304
2013-05-01,Jordan,VIP Games,2690,47,47,34,14,6,11
2013-05-01,Kenya,Babelbay,13,0,0,0,0,0,0
2013-05-01,Kenya,Video,130,3,3,3,1,0,1
2013-05-01,KSA,Ringtone,140,10,11,10,5,5,1
2013-05-01,KSA,Video,10668,618,616,536,277,116,231
2013-05-01,Kuwait,Babelbay,8,0,0,0,0,0,0
2013-05-01,Kuwait,Ringtone,1870,76,77,73,41,18,27
2013-05-01,Kuwait,Video,506,21,21,18,7,2,6
2013-05-01,Kuwait,WallPapers,330,10,10,8,4,3,2
2013-05-01,Norway,Brain2Train,1432,14,13,10,0,0,6
2013-05-01,Oman,Ringtone,21285,853,864,731,396,167,309
2013-05-01,Oman,Video,21995,759,758,651,367,148,281
2013-05-01,Oman,VIP Games,11949,212,216,182,102,41,71
2013-05-01,Oman,WallPapers,4326,227,228,202,102,33,83
2013-05-01,Qatar,Babelbay,2281,66,64,53,30,14,21
2013-05-01,Qatar,Movie Buzz,2775,116,116,99,30,15,20
2013-05-01,Qatar,Ringtone,3886,104,102,80,49,22,37
2013-05-01,Qatar,Video,3796,96,94,79,54,21,41
2013-05-01,Qatar,VIP Games,162,4,4,4,4,0,4
2013-05-01,Qatar,WallPapers,1721,40,39,31,15,10,9
2013-05-01,Russia,Ringtone,771,70,35,62,0,0,10
2013-05-01,Russia,Video,2,0,0,0,0,0,0
2013-05-01,Sri lanka,Video,7776,194,187,154,100,49,75
2013-05-01,Thailand,Video,24592,1048,546,871,6,3,310
2013-05-01,UAE,Babelbay,749,43,40,31,11,1,9
2013-05-01,UAE,MobileAcademy,929,11,11,7,5,1,4
2013-05-01,UAE,Movie Buzz,3045,123,119,104,45,14,39
2013-05-01,UAE,Ringtone,941,29,25,24,7,2,6
2013-05-01,UAE,Video,1638,68,64,57,19,8,14
2013-05-01,UAE,VIP Games,11282,127,123,95,25,12,18
2013-05-01,UAE,WallPapers,1,0,0,0,0,0,0
2013-05-01,Vietnam,Video,282,4,0,3,0,0,0
2013-05-01,Yemen,Video,4700,221,52,197,40,16,34
2013-04-30,Azerbaijan,Ringtone,940,24,23,21,1,1,13
2013-04-30,Azerbaijan,Video,2097,41,41,34,1,0,20
2013-04-30,Bahrain,Ringtone,415,7,7,6,4,2,3
2013-04-30,Iraq,Babelbay,3841,179,179,143,91,45,67
2013-04-30,Iraq,Brain2Train,3,0,0,0,0,0,0
2013-04-30,Iraq,Ringtone,5584,260,259,204,124,54,100
2013-04-30,Iraq,Video,5241,300,291,235,167,58,139
2013-04-30,Jordan,Babelbay,2742,77,79,62,31,13,25
2013-04-30,Jordan,Video,21630,689,694,578,361,145,269
2013-04-30,Jordan,VIP Games,1631,24,24,20,7,1,4
