Day,Active Subs,Subs,Direct Wap,WEB Pin,Direct SMS,Web SMS,Wap SMS,Click Tag,Link Click,Java App,Link Pin,Wap Pin,Android,IVR,GooglePlay,Other,Un Subs,Wap,Pin,SMS,Billing Rule,Cust. Care,Op. Admin,IVR,Others,Growth
9/1/2012,23961,356,269,29,4,2,1,42,0,6,0,2,1,0,0,0,215,0,0,106,95,7,0,6,1,141
9/2/2012,24058,328,261,22,6,2,0,32,0,4,0,1,0,0,0,0,231,0,0,113,96,10,1,11,0,97
9/3/2012,24076,269,212,25,3,4,1,20,0,3,0,1,0,0,0,0,251,0,0,106,119,9,0,17,0,18
9/4/2012,24126,293,214,29,8,3,0,31,0,5,0,3,0,0,0,0,243,0,0,111,115,15,0,2,0,50
9/5/2012,24172,304,237,24,5,1,1,29,0,6,0,1,0,0,0,0,258,0,0,110,136,7,1,4,0,46
9/6/2012,24250,336,276,18,4,2,0,32,0,2,0,2,0,0,0,0,258,0,0,101,138,8,0,10,1,78
9/7/2012,24347,304,219,45,3,0,0,31,0,4,0,1,0,0,1,0,207,0,0,120,73,1,0,13,0,97
9/8/2012,24425,329,223,55,6,4,1,28,0,9,0,3,0,0,0,0,251,0,0,125,112,7,0,7,0,78
9/9/2012,24441,256,200,31,7,2,0,13,0,1,0,1,0,0,1,0,240,0,0,101,121,8,0,9,1,16
9/10/2012,24510,304,232,36,4,1,0,21,0,7,0,3,0,0,0,0,235,0,0,100,120,5,0,6,4,69
9/11/2012,24587,308,237,26,9,1,2,26,0,5,0,1,0,0,1,0,231,0,0,93,118,7,0,12,1,77
9/12/2012,24659,329,270,30,5,0,0,20,0,2,0,1,0,0,1,0,257,0,0,102,134,10,2,8,1,72
9/13/2012,24794,369,295,45,6,0,0,20,0,2,0,0,0,0,1,0,234,0,0,110,112,8,0,4,0,135
9/14/2012,25003,455,384,33,5,7,0,24,0,1,0,0,0,0,1,0,246,0,0,107,130,3,0,6,0,209
9/15/2012,25171,444,363,41,14,3,0,15,0,6,0,0,0,0,2,0,276,0,0,131,135,3,1,6,0,168
9/16/2012,25298,398,306,55,6,3,0,20,0,4,0,4,0,0,0,0,271,0,0,115,134,13,0,9,0,127
9/17/2012,25326,312,208,57,10,7,2,22,0,3,0,3,0,0,0,0,284,0,0,128,136,9,0,10,1,28
9/18/2012,25428,410,318,42,15,2,0,28,0,3,0,1,0,0,1,0,308,0,0,135,156,7,1,9,0,102
9/19/2012,25543,428,358,29,8,4,0,24,0,3,0,1,0,0,1,0,313,0,0,140,147,6,2,14,4,115
9/20/2012,25658,428,318,58,11,5,0,26,0,5,0,4,0,0,1,0,313,0,0,135,155,11,1,11,0,115
9/21/2012,25816,466,365,56,8,2,0,32,0,3,0,0,0,0,0,0,308,0,0,134,155,3,1,14,1,158
9/22/2012,25850,353,261,50,6,4,0,25,0,3,0,1,0,0,3,0,319,0,0,137,158,10,1,11,2,34
9/23/2012,25852,292,198,54,4,4,1,27,0,3,0,0,0,0,1,0,290,0,0,118,155,11,0,6,0,2
9/24/2012,25875,375,281,62,5,3,0,20,0,0,0,3,0,0,1,0,352,0,0,139,151,9,1,11,41,23
9/25/2012,25923,385,279,60,9,6,0,24,0,4,0,1,0,0,2,0,337,0,0,133,147,16,2,15,24,48
9/26/2012,25961,372,270,57,6,5,1,29,0,2,0,0,0,0,2,0,334,0,0,120,189,14,0,11,0,38
9/27/2012,26047,405,300,48,4,4,2,32,0,8,0,0,0,0,7,0,319,0,0,149,149,11,3,7,0,86
9/28/2012,26166,445,321,62,9,2,0,33,0,6,0,3,0,1,8,0,326,0,0,142,164,8,0,12,0,119
9/29/2012,26223,402,293,48,15,3,0,27,0,3,0,0,0,0,13,0,345,0,0,124,207,7,0,7,0,57
9/30/2012,26339,440,349,48,8,4,1,14,0,4,0,4,0,0,8,0,324,0,0,150,159,8,1,6,0,116
10/1/2012,26388,380,296,41,3,3,1,15,0,3,0,12,0,0,6,0,331,0,1,131,178,9,2,10,0,49
10/2/2012,26404,383,283,60,3,4,4,9,0,2,0,15,0,0,3,0,367,0,0,161,184,6,3,12,1,16
10/3/2012,26445,389,298,42,14,3,1,10,0,1,0,17,0,0,3,0,348,0,0,151,156,6,2,11,22,41
10/4/2012,26588,430,329,44,7,2,1,13,0,0,0,3,0,0,31,0,287,0,0,140,128,5,0,14,0,143
10/5/2012,26669,441,313,62,7,0,3,15,0,1,0,10,0,0,30,0,360,0,0,160,178,4,3,14,1,81
10/6/2012,26774,474,322,57,11,3,3,19,0,1,0,7,0,0,51,0,369,0,0,163,180,9,0,14,3,105
10/7/2012,26921,461,345,45,7,0,2,13,0,0,0,6,0,0,43,0,314,0,0,135,148,14,2,14,1,147
10/8/2012,27022,440,321,52,6,1,0,13,0,1,0,1,1,0,44,0,339,0,0,173,146,10,0,10,0,101
10/9/2012,27103,383,281,19,4,2,0,15,0,1,0,5,0,0,56,0,302,0,0,110,163,7,0,6,16,81
10/10/2012,27229,478,377,34,7,2,0,12,0,0,0,5,0,0,41,0,352,0,0,167,160,16,0,9,0,126
10/11/2012,27289,404,292,57,5,1,0,8,0,2,0,3,0,1,35,0,344,0,0,140,162,13,1,14,14,60
10/12/2012,27489,559,407,80,10,2,0,15,0,1,0,7,0,0,37,0,359,0,0,156,188,5,0,10,0,200
10/13/2012,27622,480,370,48,14,0,0,9,0,1,0,3,0,0,35,0,347,0,0,160,163,11,0,11,2,133
10/14/2012,27732,452,362,41,6,2,0,14,0,3,0,8,0,0,16,0,342,0,0,141,165,17,0,7,12,110
10/15/2012,27830,448,333,53,16,3,0,11,0,3,0,4,0,0,25,0,350,0,0,161,163,13,2,11,0,98
10/16/2012,27930,421,317,41,7,1,0,10,0,1,0,1,0,0,43,0,321,0,0,119,178,8,0,15,1,100
10/17/2012,27976,383,279,49,8,2,0,12,0,1,0,4,0,0,28,0,337,0,0,158,161,7,0,9,2,46
10/18/2012,28063,398,315,36,6,2,0,12,0,2,0,4,0,0,21,0,311,0,0,122,170,12,1,6,0,87
10/19/2012,28075,317,226,40,24,2,0,11,0,0,0,1,0,0,13,0,305,0,0,138,156,3,0,8,0,12
10/20/2012,28121,384,298,30,20,2,1,10,0,0,0,7,0,0,16,0,338,0,0,156,158,6,0,17,1,46
10/21/2012,28122,335,237,39,18,0,0,17,0,1,0,3,0,0,20,0,334,0,0,123,177,8,0,15,11,1
10/22/2012,28033,312,219,38,23,4,1,7,0,1,0,4,0,0,15,0,401,0,0,126,167,3,0,10,95,-89
10/23/2012,28025,290,187,56,15,1,1,13,0,3,0,4,0,0,10,0,298,0,0,110,175,6,2,5,0,-8
10/24/2012,27962,294,197,47,20,1,1,8,0,0,0,3,0,0,17,0,357,0,0,133,201,15,1,7,0,-63
10/25/2012,27885,324,217,49,19,4,0,9,0,1,0,8,0,0,17,0,401,0,0,160,228,1,0,12,0,-77
10/26/2012,27863,308,194,49,22,2,1,8,0,1,0,4,0,0,27,0,330,0,0,135,180,7,0,8,0,-22
10/27/2012,27810,299,198,42,23,1,0,5,0,4,0,9,0,0,17,0,352,0,0,131,208,5,0,8,0,-53
10/28/2012,27804,330,198,71,19,2,1,8,0,2,0,5,0,0,24,0,336,0,0,134,178,8,0,16,0,-6
10/29/2012,27735,317,206,67,16,2,1,7,0,2,0,8,0,0,8,0,386,0,0,142,223,6,1,14,0,-69
10/30/2012,27698,337,213,57,32,4,0,9,0,1,0,4,0,0,17,0,374,0,0,156,199,9,1,8,1,-37
10/31/2012,27739,386,253,61,35,2,2,11,0,0,0,8,0,0,14,0,345,0,0,141,185,10,2,7,0,41
11/1/2012,27719,334,224,51,18,1,1,16,0,1,0,9,0,0,13,0,354,0,0,123,211,9,0,10,1,-20
11/2/2012,27819,441,228,135,29,1,2,12,0,7,0,8,0,0,19,0,341,0,0,140,184,9,0,8,0,100
11/3/2012,27876,437,251,105,39,1,2,11,0,0,0,11,0,0,17,0,380,0,0,185,173,5,1,16,0,57
11/4/2012,27889,385,280,42,27,1,0,9,0,0,0,8,0,0,18,0,372,0,0,129,221,8,0,13,1,13
