Day,Active Subs,Subs,Direct Wap,WEB Pin,Direct SMS,Web SMS,Wap SMS,Click Tag,Link Click,Java App,Link Pin,Wap Pin,Android,IVR,GooglePlay,Other,Un Subs,Wap,Pin,SMS,Billing Rule,Cust. Care,Op. Admin,IVR,Others,Growth
1/12/2012,27990,366,0,5,10,2,30,151,0,155,0,13,0,0,0,0,241,0,0,146,90,5,0,0,0,125
2/12/2012,28143,478,0,9,5,2,36,200,0,207,0,19,0,0,0,0,325,0,0,242,78,1,4,0,0,153
3/12/2012,28375,578,0,56,16,9,36,219,0,227,0,15,0,0,0,0,346,0,0,229,106,5,6,0,0,232
4/12/2012,28816,813,0,126,19,18,48,311,0,271,0,20,0,0,0,0,372,0,0,286,75,6,5,0,0,441
5/12/2012,29209,763,0,95,10,22,40,335,0,239,0,22,0,0,0,0,370,0,1,274,91,2,2,0,0,393
6/12/2012,29436,571,0,50,13,11,53,221,0,205,0,18,0,0,0,0,344,0,1,240,96,2,5,0,0,227
7/12/2012,29853,642,0,45,16,5,63,284,0,218,0,11,0,0,0,0,225,0,1,125,98,0,1,0,0,417
8/12/2012,30168,623,0,18,18,4,45,268,0,257,0,13,0,0,0,0,308,0,0,258,45,3,2,0,0,315
9/12/2012,30415,599,0,10,17,0,43,274,0,238,0,17,0,0,0,0,352,0,0,233,109,10,0,0,0,247
10/12/2012,30578,510,0,36,21,7,42,214,0,176,0,14,0,0,0,0,347,0,0,233,107,1,6,0,0,163
11/12/2012,30700,412,0,21,12,6,37,151,0,175,0,10,0,0,0,0,290,0,0,189,92,4,5,0,0,122
12/12/2012,30786,334,0,24,12,2,31,134,0,126,0,5,0,0,0,0,248,0,0,152,90,3,3,0,0,86
13/12/2012,30828,446,0,52,12,7,32,166,0,173,0,4,0,0,0,0,404,0,0,307,89,4,4,0,0,42
14/12/2012,30748,310,0,96,18,21,15,49,0,105,0,6,0,0,0,0,390,0,0,263,118,0,9,0,0,-80
15/12/2012,30745,310,0,48,5,6,17,88,0,138,0,8,0,0,0,0,313,0,0,211,99,1,2,0,0,-3
16/12/2012,30808,377,0,29,13,6,20,126,0,178,0,5,0,0,0,0,314,0,0,227,82,5,0,0,0,63
17/12/2012,30956,476,0,57,20,7,39,181,0,162,0,10,0,0,0,0,328,0,2,222,93,4,7,0,0,148
18/12/2012,31035,410,0,16,14,9,20,163,0,182,0,6,0,0,0,0,331,0,0,224,94,1,12,0,0,79
19/12/2012,31109,381,0,37,12,4,27,139,0,154,0,7,1,0,0,0,307,0,0,198,99,3,7,0,0,74
20/12/2012,31024,194,0,31,5,1,5,47,0,97,0,8,0,0,0,0,279,0,0,157,109,7,6,0,0,-85
21/12/2012,30954,247,0,61,6,9,11,63,0,92,0,5,0,0,0,0,317,0,0,207,107,1,2,0,0,-70
22/12/2012,30886,220,0,23,11,3,16,60,0,98,0,9,0,0,0,0,288,0,0,173,114,1,0,0,0,-68
23/12/2012,30804,199,0,18,6,5,21,56,0,87,0,6,0,0,0,0,281,0,0,165,114,2,0,0,0,-82
24/12/2012,30741,175,0,24,5,7,5,45,0,84,0,5,0,0,0,0,238,0,0,120,116,2,0,0,0,-63
