Day,Active Subs,Subs,Direct Wap,WEB Pin,Direct SMS,Web SMS,Wap SMS,Click Tag,Link Click,Java App,Link Pin,Wap Pin,Android,IVR,GooglePlay,Other,Un Subs,Wap,Pin,SMS,Billing Rule,Cust. Care,Op. Admin,IVR,Others,Growth
1/9/2012,204357,720,0,32,34,20,26,421,0,178,0,0,1,0,0,8,597,0,1,534,56,1,1,4,0,123
2/9/2012,204433,622,0,34,38,22,21,367,0,139,0,0,1,0,0,0,546,0,0,457,77,1,7,4,0,76
3/9/2012,204423,603,0,33,20,15,42,354,0,136,0,0,0,0,0,3,613,0,0,541,64,1,4,3,0,-10
4/9/2012,204817,571,0,9,10,10,85,340,0,116,0,0,0,0,0,1,177,0,1,128,41,1,4,2,0,394
5/9/2012,204818,746,1,10,26,11,109,436,0,150,0,0,0,0,0,3,745,0,1,671,61,2,7,3,0,1
6/9/2012,205051,601,0,9,30,11,69,325,0,156,0,0,0,0,0,1,368,0,0,306,56,1,2,3,0,233
7/9/2012,205176,711,0,16,28,6,93,421,0,145,0,0,0,0,0,2,586,0,3,502,74,0,4,3,0,125
8/9/2012,205314,669,0,17,26,12,80,365,0,162,0,0,2,0,0,5,531,0,0,479,46,0,2,4,0,138
9/9/2012,205639,638,0,19,38,9,66,351,0,152,0,0,1,0,0,2,313,0,0,231,78,1,2,1,0,325
10/9/2012,205903,579,0,10,30,7,62,346,0,119,0,0,0,0,0,5,315,0,0,261,46,0,3,5,0,264
11/9/2012,206229,611,0,11,19,10,70,373,0,122,0,0,0,0,0,6,285,0,0,222,55,1,4,3,0,326
12/9/2012,205805,636,0,15,23,5,67,372,0,153,0,0,0,0,0,1,1060,0,0,978,69,1,6,6,0,-424
13/09/2012,206178,649,0,22,22,10,63,363,0,162,0,0,1,0,0,6,276,0,1,185,76,2,10,2,0,373
14/09/2012,206531,637,0,20,11,9,46,376,0,173,0,0,1,0,0,1,284,0,0,198,74,1,9,2,0,353
15/09/2012,206879,681,0,22,28,10,71,384,0,161,0,0,0,0,0,5,333,0,0,233,84,1,6,9,0,348
16/09/2012,206992,397,0,10,11,9,42,241,0,82,0,0,0,0,0,2,284,0,1,197,80,0,5,1,0,113
17/09/2012,207023,558,0,25,27,8,62,311,0,119,0,0,2,0,0,4,527,0,0,425,92,2,3,5,0,31
18/09/2012,207081,553,0,27,16,7,52,312,0,132,0,0,2,0,0,5,495,0,0,412,70,0,10,3,0,58
19/09/2012,207185,589,0,29,39,14,44,330,0,126,0,0,0,0,0,7,485,0,0,408,67,0,8,2,0,104
20/09/2012,207204,520,0,18,27,17,63,266,0,126,0,0,1,0,0,2,501,0,1,413,78,0,7,2,0,19
21/09/2012,207243,482,0,20,22,7,66,255,0,109,0,0,0,0,0,3,443,0,0,354,78,0,8,3,0,39
22/09/2012,207215,496,0,11,25,24,52,276,0,105,0,0,0,0,0,3,524,0,0,436,82,3,3,0,0,-28
23/09/2012,207271,561,0,16,28,14,93,300,0,103,0,0,0,0,0,7,505,0,0,411,81,1,9,3,0,56
24/09/2012,207500,449,0,25,21,10,75,225,0,89,0,0,1,0,0,3,220,0,0,157,56,0,5,2,0,229
25/09/2012,207451,512,0,23,27,7,89,271,0,91,0,0,0,0,0,4,561,0,0,476,77,1,4,3,0,-49
26/09/2012,207497,542,0,13,23,11,137,259,0,97,0,0,0,0,0,2,496,0,0,410,75,0,9,2,0,46
27/09/2012,207599,643,0,22,24,11,156,306,0,120,0,0,2,0,0,2,541,0,0,456,77,0,7,1,0,102
28/09/2012,207670,564,0,18,29,17,102,267,0,126,0,0,0,0,0,5,493,0,1,383,97,0,5,7,0,71
29/09/2012,207578,520,0,30,13,7,126,240,0,101,0,0,0,0,0,3,612,0,1,474,123,0,12,2,0,-92
30/09/2012,207527,494,0,26,23,11,94,245,0,92,0,0,0,0,0,3,545,0,1,429,105,1,6,3,0,-51
1/10/2012,207465,478,0,31,28,10,90,209,0,103,0,0,0,0,0,7,540,0,0,406,120,0,8,6,0,-62
2/10/2012,207425,604,0,52,30,14,105,266,0,132,0,0,0,0,0,5,644,0,0,503,134,0,5,2,0,-40
3/10/2012,207077,359,0,23,21,12,49,161,0,89,0,0,0,0,0,4,707,0,1,593,102,0,8,3,0,-348
4/10/2012,207252,485,0,45,37,17,54,204,0,123,0,0,0,0,0,5,310,0,1,209,92,0,5,3,0,175
5/10/2012,207266,500,0,38,30,16,52,230,0,129,0,0,0,0,0,5,486,0,0,350,124,1,7,4,0,14
6/10/2012,207222,438,0,28,19,17,36,208,0,121,0,0,1,0,0,8,482,0,0,349,121,1,7,4,0,-44
7/10/2012,207287,371,0,29,9,13,23,197,0,96,0,0,0,0,0,4,306,0,2,252,40,1,10,1,0,65
8/10/2012,207145,407,0,34,20,8,23,202,0,113,0,0,0,0,0,7,549,0,3,359,176,2,5,4,0,-142
9/10/2012,207004,376,0,33,14,11,30,165,0,120,0,0,1,0,0,2,517,0,0,371,131,0,10,5,0,-141
10/10/2012,206931,373,0,24,14,9,30,168,0,120,0,0,0,0,0,8,446,0,0,300,133,0,9,4,0,-73
11/10/2012,207185,533,0,40,33,15,34,277,0,129,0,0,0,0,0,5,279,0,1,144,125,1,5,3,0,254
12/10/2012,207122,682,0,34,40,14,23,403,0,164,0,0,0,0,0,4,745,0,0,626,112,0,5,2,0,-63
13/10/2012,207147,539,0,19,26,11,30,326,0,124,0,0,0,0,0,3,514,0,0,382,115,1,12,4,0,25
14/10/2012,207165,528,0,27,24,12,18,311,0,132,0,0,2,0,0,2,510,0,0,380,119,4,3,4,0,18
15/10/2012,207354,501,0,20,21,11,16,276,0,150,0,0,0,0,0,7,312,0,0,181,130,0,1,0,0,189
16/10/2012,207375,449,0,17,29,9,16,241,0,131,0,0,0,0,0,6,428,0,0,265,157,0,6,0,0,21
17/10/2012,207483,397,0,32,21,21,22,192,0,104,0,0,0,0,0,5,289,0,1,138,137,0,12,1,0,108
18/10/2012,207731,477,0,32,26,19,21,257,0,117,0,0,1,0,0,4,229,0,0,145,73,0,7,4,0,248
19/10/2012,207960,539,0,45,26,20,19,283,0,143,0,0,0,0,0,3,310,0,1,172,126,0,10,1,0,229
20/10/2012,208197,537,0,46,31,15,24,271,0,145,0,0,0,0,0,5,300,0,1,173,116,0,9,1,0,237
21/10/2012,208470,522,0,49,40,16,24,252,0,138,0,0,0,0,0,3,249,0,0,150,87,1,10,1,0,273
22/10/2012,208712,501,0,54,33,28,28,261,0,93,0,0,0,0,0,4,259,0,0,158,90,1,8,2,0,242
23/10/2012,209014,581,0,78,33,19,35,282,0,125,0,0,1,0,0,8,279,0,0,171,95,0,10,3,0,302
24/10/2012,209309,648,0,91,40,20,33,323,0,134,0,0,0,0,0,7,353,0,1,203,133,1,10,5,0,295
25/10/2012,209574,492,0,85,28,19,21,230,0,106,0,0,0,0,0,3,227,0,0,119,100,1,4,3,0,265
26/10/2012,209801,522,0,103,29,14,32,225,0,115,0,0,0,0,0,4,295,0,1,139,142,0,11,2,0,227
27/10/2012,210049,526,0,74,36,7,18,263,0,125,0,0,0,0,0,3,278,0,0,124,145,0,5,4,0,248
