Visit,Sub
"14/01/2013 23:59:53"," "
"14/01/2013 23:59:36"," "
"14/01/2013 23:59:32"," "
"14/01/2013 23:59:00"," "
"14/01/2013 23:58:53"," "
"14/01/2013 23:58:34"," "
"14/01/2013 23:58:32"," "
"14/01/2013 23:57:45"," "
"14/01/2013 23:57:36"," "
"14/01/2013 23:57:11"," "
"14/01/2013 23:56:41"," "
"14/01/2013 23:56:16","14/01/2013 23:57:27"
"14/01/2013 23:55:32"," "
"14/01/2013 23:55:24"," "
"14/01/2013 23:55:21","14/01/2013 23:55:43"
"14/01/2013 23:55:10"," "
"14/01/2013 23:54:23"," "
"14/01/2013 23:53:09"," "
"14/01/2013 23:52:40"," "
"14/01/2013 23:52:27"," "
"14/01/2013 23:51:54"," "
"14/01/2013 23:51:35"," "
"14/01/2013 23:51:24"," "
"14/01/2013 23:51:20"," "
"14/01/2013 23:51:16"," "
"14/01/2013 23:50:39"," "
"14/01/2013 23:50:20"," "
"14/01/2013 23:50:20","14/01/2013 23:50:33"
"14/01/2013 23:48:19"," "
"14/01/2013 23:48:17"," "
"14/01/2013 23:47:47"," "
"14/01/2013 23:47:14"," "
"14/01/2013 23:46:58"," "
"14/01/2013 23:46:41"," "
"14/01/2013 23:46:13"," "
"14/01/2013 23:45:33"," "
"14/01/2013 23:45:21"," "
"14/01/2013 23:44:38"," "
"14/01/2013 23:44:34"," "
"14/01/2013 23:44:32"," "
"14/01/2013 23:43:06","14/01/2013 23:44:47"
"14/01/2013 23:42:38"," "
"14/01/2013 23:42:00"," "
"14/01/2013 23:41:54"," "
"14/01/2013 23:41:43"," "
"14/01/2013 23:41:37"," "
"14/01/2013 23:41:32"," "
"14/01/2013 23:40:58"," "
"14/01/2013 23:40:25"," "
"14/01/2013 23:40:02"," "
"14/01/2013 23:39:51"," "
"14/01/2013 23:39:44"," "
"14/01/2013 23:39:32"," "
"14/01/2013 23:39:08"," "
"14/01/2013 23:37:55"," "
"14/01/2013 23:37:51"," "
"14/01/2013 23:37:21"," "
"14/01/2013 23:37:13"," "
"14/01/2013 23:37:11"," "
"14/01/2013 23:36:22"," "
"14/01/2013 23:36:21"," "
"14/01/2013 23:35:55"," "
"14/01/2013 23:35:37"," "
"14/01/2013 23:35:34"," "
"14/01/2013 23:34:53","14/01/2013 23:35:53"
"14/01/2013 23:34:49"," "
"14/01/2013 23:34:26"," "
"14/01/2013 23:33:07"," "
"14/01/2013 23:32:39"," "
"14/01/2013 23:32:23"," "
"14/01/2013 23:32:11"," "
"14/01/2013 23:32:02"," "
"14/01/2013 23:31:43"," "
"14/01/2013 23:31:26"," "
"14/01/2013 23:31:25"," "
"14/01/2013 23:31:05"," "
"14/01/2013 23:30:56"," "
"14/01/2013 23:30:40"," "
"14/01/2013 23:30:07"," "
"14/01/2013 23:30:01"," "
"14/01/2013 23:28:48"," "
"14/01/2013 23:28:18"," "
"14/01/2013 23:28:06"," "
"14/01/2013 23:27:43"," "
"14/01/2013 23:27:29"," "
"14/01/2013 23:27:11"," "
"14/01/2013 23:26:49"," "
"14/01/2013 23:26:30"," "
"14/01/2013 23:26:24"," "
"14/01/2013 23:26:23"," "
"14/01/2013 23:25:09"," "
"14/01/2013 23:24:58"," "
"14/01/2013 23:24:53"," "
"14/01/2013 23:24:49"," "
"14/01/2013 23:24:41"," "
"14/01/2013 23:24:27"," "
"14/01/2013 23:23:52"," "
"14/01/2013 23:23:49"," "
"14/01/2013 23:23:33"," "
"14/01/2013 23:23:28"," "
"14/01/2013 23:23:04"," "
"14/01/2013 23:21:16"," "
"14/01/2013 23:21:03"," "
"14/01/2013 23:20:57"," "
"14/01/2013 23:20:40","14/01/2013 23:22:43"
"14/01/2013 23:20:32"," "
"14/01/2013 23:18:41"," "
"14/01/2013 23:18:12"," "
"14/01/2013 23:17:54"," "
"14/01/2013 23:17:34"," "
"14/01/2013 23:17:22"," "
"14/01/2013 23:17:01"," "
"14/01/2013 23:16:38"," "
"14/01/2013 23:16:15"," "
"14/01/2013 23:15:53"," "
"14/01/2013 23:15:29"," "
"14/01/2013 23:15:00"," "
"14/01/2013 23:14:29"," "
"14/01/2013 23:14:15"," "
"14/01/2013 23:13:58"," "
"14/01/2013 23:13:49"," "
"14/01/2013 23:13:23"," "
"14/01/2013 23:13:22"," "
"14/01/2013 23:11:58"," "
"14/01/2013 23:11:31"," "
"14/01/2013 23:11:18"," "
"14/01/2013 23:10:08"," "
"14/01/2013 23:09:16"," "
"14/01/2013 23:08:01"," "
"14/01/2013 23:07:13"," "
"14/01/2013 23:07:13"," "
"14/01/2013 23:06:24"," "
"14/01/2013 23:06:21"," "
"14/01/2013 23:06:02"," "
"14/01/2013 23:05:44"," "
"14/01/2013 23:05:35"," "
"14/01/2013 23:05:25"," "
"14/01/2013 23:04:37"," "
"14/01/2013 23:04:18"," "
"14/01/2013 23:04:12"," "
"14/01/2013 23:04:12"," "
"14/01/2013 23:04:01"," "
"14/01/2013 23:03:51"," "
"14/01/2013 23:03:16"," "
"14/01/2013 23:02:30"," "
"14/01/2013 23:02:26"," "
"14/01/2013 23:02:09","14/01/2013 23:02:38"
"14/01/2013 23:02:00"," "
"14/01/2013 23:01:56"," "
"14/01/2013 23:01:49"," "
"14/01/2013 23:01:36"," "
"14/01/2013 23:00:22"," "
"14/01/2013 22:59:58"," "
"14/01/2013 22:59:54","14/01/2013 23:02:35"
"14/01/2013 22:59:38"," "
"14/01/2013 22:59:17"," "
"14/01/2013 22:59:04"," "
"14/01/2013 22:58:47","14/01/2013 22:59:12"
"14/01/2013 22:58:10"," "
"14/01/2013 22:58:03"," "
"14/01/2013 22:57:49"," "
"14/01/2013 22:57:44"," "
"14/01/2013 22:57:36"," "
"14/01/2013 22:57:33"," "
"14/01/2013 22:57:22"," "
"14/01/2013 22:57:20"," "
"14/01/2013 22:56:50"," "
"14/01/2013 22:56:07"," "
"14/01/2013 22:55:37"," "
"14/01/2013 22:55:29"," "
"14/01/2013 22:55:27"," "
"14/01/2013 22:54:50"," "
"14/01/2013 22:54:43"," "
"14/01/2013 22:54:13"," "
"14/01/2013 22:53:50"," "
"14/01/2013 22:53:38"," "
"14/01/2013 22:53:33"," "
"14/01/2013 22:53:23"," "
"14/01/2013 22:53:19"," "
"14/01/2013 22:52:50"," "
"14/01/2013 22:52:41"," "
"14/01/2013 22:52:37"," "
"14/01/2013 22:52:22","14/01/2013 22:53:02"
"14/01/2013 22:52:12"," "
"14/01/2013 22:52:08"," "
"14/01/2013 22:51:03"," "
"14/01/2013 22:50:40"," "
"14/01/2013 22:50:20"," "
"14/01/2013 22:49:14"," "
"14/01/2013 22:48:49"," "
"14/01/2013 22:48:45"," "
"14/01/2013 22:47:52","14/01/2013 22:48:45"
"14/01/2013 22:47:37"," "
"14/01/2013 22:47:28"," "
"14/01/2013 22:47:10"," "
"14/01/2013 22:47:00"," "
"14/01/2013 22:46:39"," "
"14/01/2013 22:46:14"," "
"14/01/2013 22:45:46"," "
"14/01/2013 22:45:38"," "
"14/01/2013 22:45:38"," "
"14/01/2013 22:45:25"," "
"14/01/2013 22:44:52"," "
"14/01/2013 22:44:47","14/01/2013 22:45:35"
"14/01/2013 22:44:14"," "
"14/01/2013 22:43:53"," "
"14/01/2013 22:43:53"," "
"14/01/2013 22:43:44"," "
"14/01/2013 22:43:34"," "
"14/01/2013 22:43:33"," "
"14/01/2013 22:43:19"," "
"14/01/2013 22:42:45"," "
"14/01/2013 22:42:37"," "
"14/01/2013 22:42:28"," "
"14/01/2013 22:42:20"," "
"14/01/2013 22:41:55"," "
"14/01/2013 22:41:46"," "
"14/01/2013 22:41:39"," "
"14/01/2013 22:41:31"," "
"14/01/2013 22:41:29"," "
"14/01/2013 22:40:31"," "
"14/01/2013 22:40:15"," "
"14/01/2013 22:39:48"," "
"14/01/2013 22:39:44"," "
"14/01/2013 22:39:34","14/01/2013 22:40:20"
"14/01/2013 22:38:38"," "
"14/01/2013 22:37:47"," "
"14/01/2013 22:37:45"," "
"14/01/2013 22:37:19","14/01/2013 22:37:30"
"14/01/2013 22:37:12"," "
"14/01/2013 22:37:08"," "
"14/01/2013 22:36:34","14/01/2013 22:38:57"
"14/01/2013 22:36:29"," "
"14/01/2013 22:36:19"," "
"14/01/2013 22:36:19"," "
"14/01/2013 22:35:49"," "
"14/01/2013 22:35:44"," "
"14/01/2013 22:35:38"," "
"14/01/2013 22:34:51"," "
"14/01/2013 22:34:23"," "
"14/01/2013 22:34:21"," "
"14/01/2013 22:34:17"," "
"14/01/2013 22:34:17"," "
"14/01/2013 22:33:43"," "
"14/01/2013 22:33:32"," "
"14/01/2013 22:33:20"," "
"14/01/2013 22:33:09"," "
"14/01/2013 22:33:01"," "
"14/01/2013 22:32:58"," "
"14/01/2013 22:32:57"," "
"14/01/2013 22:31:29"," "
"14/01/2013 22:31:06"," "
"14/01/2013 22:30:53"," "
"14/01/2013 22:30:40"," "
"14/01/2013 22:30:24"," "
"14/01/2013 22:30:11","14/01/2013 22:31:00"
"14/01/2013 22:29:47"," "
"14/01/2013 22:29:33","14/01/2013 22:29:58"
"14/01/2013 22:29:32"," "
"14/01/2013 22:29:16"," "
"14/01/2013 22:29:15"," "
"14/01/2013 22:28:53"," "
"14/01/2013 22:27:50"," "
"14/01/2013 22:27:36"," "
"14/01/2013 22:27:20"," "
"14/01/2013 22:26:51"," "
"14/01/2013 22:26:39"," "
"14/01/2013 22:25:47"," "
"14/01/2013 22:25:33"," "
"14/01/2013 22:25:23"," "
"14/01/2013 22:25:22"," "
"14/01/2013 22:25:03"," "
"14/01/2013 22:24:47"," "
"14/01/2013 22:24:33"," "
"14/01/2013 22:24:17"," "
"14/01/2013 22:24:11"," "
"14/01/2013 22:23:49","14/01/2013 22:24:35"
"14/01/2013 22:23:39"," "
"14/01/2013 22:23:38"," "
"14/01/2013 22:23:30"," "
"14/01/2013 22:23:27","14/01/2013 22:23:47"
"14/01/2013 22:23:15"," "
"14/01/2013 22:22:24"," "
"14/01/2013 22:22:10"," "
"14/01/2013 22:22:01"," "
"14/01/2013 22:21:05"," "
"14/01/2013 22:20:53"," "
"14/01/2013 22:20:42"," "
"14/01/2013 22:20:31"," "
"14/01/2013 22:20:18"," "
"14/01/2013 22:20:05"," "
"14/01/2013 22:19:38"," "
"14/01/2013 22:19:12"," "
"14/01/2013 22:19:10"," "
"14/01/2013 22:18:30"," "
"14/01/2013 22:18:18"," "
"14/01/2013 22:18:17"," "
"14/01/2013 22:18:01"," "
"14/01/2013 22:17:09"," "
"14/01/2013 22:16:20"," "
"14/01/2013 22:15:58"," "
"14/01/2013 22:15:54"," "
"14/01/2013 22:15:20"," "
"14/01/2013 22:15:19"," "
"14/01/2013 22:15:01"," "
"14/01/2013 22:14:55","14/01/2013 22:16:23"
"14/01/2013 22:14:24"," "
"14/01/2013 22:14:21"," "
"14/01/2013 22:13:33"," "
"14/01/2013 22:12:25"," "
"14/01/2013 22:12:15"," "
"14/01/2013 22:12:12"," "
"14/01/2013 22:11:29"," "
"14/01/2013 22:11:00"," "
"14/01/2013 22:10:55"," "
"14/01/2013 22:10:46"," "
"14/01/2013 22:10:40"," "
"14/01/2013 22:10:22"," "
"14/01/2013 22:10:19"," "
"14/01/2013 22:09:32"," "
"14/01/2013 22:09:06"," "
"14/01/2013 22:08:16"," "
"14/01/2013 22:08:15"," "
"14/01/2013 22:07:41","14/01/2013 22:08:43"
"14/01/2013 22:07:13"," "
"14/01/2013 22:06:37"," "
"14/01/2013 22:06:31"," "
"14/01/2013 22:06:26"," "
"14/01/2013 22:06:22"," "
"14/01/2013 22:06:15"," "
"14/01/2013 22:05:51"," "
"14/01/2013 22:05:47"," "
"14/01/2013 22:05:34"," "
"14/01/2013 22:05:32"," "
"14/01/2013 22:05:09"," "
"14/01/2013 22:05:08"," "
"14/01/2013 22:05:08"," "
"14/01/2013 22:04:57"," "
"14/01/2013 22:03:19"," "
"14/01/2013 22:03:18"," "
"14/01/2013 22:03:17"," "
"14/01/2013 22:02:27"," "
"14/01/2013 22:02:05"," "
"14/01/2013 22:01:41"," "
"14/01/2013 22:01:36"," "
"14/01/2013 22:01:02"," "
"14/01/2013 22:00:53"," "
"14/01/2013 22:00:51","14/01/2013 22:01:37"
"14/01/2013 22:00:48"," "
"14/01/2013 22:00:12"," "
"14/01/2013 22:00:09"," "
"14/01/2013 22:00:04"," "
"14/01/2013 21:59:50"," "
"14/01/2013 21:59:36"," "
"14/01/2013 21:59:19"," "
"14/01/2013 21:59:11"," "
"14/01/2013 21:58:53"," "
"14/01/2013 21:58:35"," "
"14/01/2013 21:58:23"," "
"14/01/2013 21:57:58"," "
"14/01/2013 21:57:49"," "
"14/01/2013 21:56:34"," "
"14/01/2013 21:56:28"," "
"14/01/2013 21:56:09"," "
"14/01/2013 21:56:09"," "
"14/01/2013 21:55:21"," "
"14/01/2013 21:55:15"," "
"14/01/2013 21:55:13"," "
"14/01/2013 21:55:07"," "
"14/01/2013 21:55:05"," "
"14/01/2013 21:55:02"," "
"14/01/2013 21:54:54"," "
"14/01/2013 21:54:52"," "
"14/01/2013 21:54:38"," "
"14/01/2013 21:54:38"," "
"14/01/2013 21:54:37"," "
"14/01/2013 21:54:14"," "
"14/01/2013 21:54:13"," "
