Visit,Sub
00:00.9,
00:01.4,
00:02.7,
00:03.4,
00:03.5,
00:04.3,
00:04.4,
00:04.4,
00:05.7,
00:06.0,
00:06.0,
00:06.1,
00:07.3,
00:10.1,
00:10.2,
00:12.3,
00:12.5,
00:13.8,
00:14.6,
00:15.8,
00:17.7,
00:17.9,
00:18.7,
00:19.0,
00:19.3,
00:21.9,
00:22.8,00:52.9
00:23.5,
00:24.3,
00:30.2,
00:33.5,
00:33.6,
00:33.8,
00:34.0,
00:35.2,
00:36.9,
00:37.5,
00:40.1,
00:40.9,
00:41.3,
00:41.7,
00:42.2,
00:42.7,
00:44.2,
00:44.3,
00:44.5,
00:44.5,
00:45.6,
00:45.9,
00:46.3,
00:48.5,
00:48.5,
00:49.3,
00:50.3,
00:50.5,
00:50.8,
00:52.0,01:06.0
00:52.1,
00:52.2,
00:53.1,
00:53.7,
00:53.8,
00:54.7,
00:55.3,
00:56.4,
00:56.8,
00:58.0,
00:59.6,
01:00.5,
01:00.5,
01:01.0,
01:02.4,
01:02.8,
01:03.1,
01:06.4,
01:06.8,
01:08.3,
01:10.5,
01:10.7,
01:15.0,
01:15.8,
01:17.4,
01:17.5,
01:18.5,
01:19.9,
01:20.3,
01:20.4,
01:21.1,
01:22.2,
01:25.3,
01:25.6,
01:25.7,
01:26.0,
01:30.2,
01:32.4,
01:33.7,
01:34.1,
01:34.2,01:40.3
01:34.9,
01:35.3,
01:36.7,
01:38.9,
01:39.2,
01:40.3,
01:40.7,
01:40.8,
01:41.0,
01:41.6,
01:42.4,
01:42.4,
01:42.6,
01:43.1,
01:43.4,
01:45.9,
01:46.3,
01:46.6,
01:47.9,
01:48.1,
01:48.3,
01:48.5,
01:48.9,
01:50.1,
01:51.9,
01:52.2,
01:53.1,
01:53.9,
01:54.4,
01:58.3,
01:58.4,
01:59.5,
02:00.3,
02:01.0,
02:01.2,
02:01.2,
02:02.8,
02:04.0,
02:05.0,
02:05.2,
02:07.4,
02:10.2,
02:10.4,
02:11.3,
02:11.3,
02:11.6,
02:12.0,
02:12.3,
02:12.3,
02:12.8,
02:14.7,
02:14.8,
02:15.0,
02:16.3,
02:16.5,
02:17.6,
02:18.4,
02:18.9,
02:19.4,
02:20.3,
02:21.7,
02:22.1,
02:22.3,
02:22.8,
02:22.8,
02:23.5,
02:23.5,
02:23.8,
02:24.3,
02:24.4,
02:25.0,
02:27.3,
02:28.3,
02:28.7,
02:29.5,
02:30.8,
02:31.4,
02:32.4,
02:33.9,
02:34.2,
02:36.5,
02:36.9,
02:37.8,
02:38.0,
02:38.2,
02:38.8,
02:39.9,
02:42.1,
02:43.2,
02:43.9,
02:44.5,
02:44.9,
02:45.4,
02:45.4,
02:46.2,
02:47.8,
02:48.2,
02:49.9,
02:50.9,
02:51.8,
02:57.7,04:05.1
