Day,Referer,Visits,Submissions,Subscribers
1/9/2013,wap p190b,6,2,2
1/9/2013,wap p41b,8,3,3
1/9/2013,wap p42b,2,2,2
1/10/2013,wap p190b,46,21,21
1/10/2013,wap p199b,602,180,180
1/10/2013,wap p41b,30,9,9
1/11/2013,wap p190b,9,4,4
1/11/2013,wap p199b,884,257,257
1/11/2013,wap p236b,6,3,3
1/11/2013,wap p41b,28,5,5
1/12/2013,wap p190b,8,2,2
1/12/2013,wap p199b,797,199,199
1/12/2013,wap p236b,3,0,0
1/12/2013,wap p41b,26,6,6
1/13/2013,wap p190b,12,2,2
1/13/2013,wap p199b,723,191,191
1/13/2013,wap p236b,6,2,2
1/13/2013,wap p41b,22,6,6
1/14/2013,wap p190b,9,0,0
1/14/2013,wap p199b,686,169,169
1/14/2013,wap p236b,4,0,0
1/14/2013,wap p41b,9,0,0
1/15/2013,wap p190b,12,5,5
1/15/2013,wap p199b,607,152,152
1/15/2013,wap p236b,7,0,0
1/15/2013,wap p41b,7,1,1
1/15/2013,wap p42b,1,0,0
1/16/2013,wap p190b,16,2,2
1/16/2013,wap p199b,677,182,182
1/16/2013,wap p236b,5,2,2
1/16/2013,wap p41b,11,4,4
1/16/2013,wap p42b,2,2,2
1/17/2013,wap p190b,10,2,2
1/17/2013,wap p199b,691,190,190
1/17/2013,wap p236b,12,0,0
1/17/2013,wap p41b,10,3,3
1/18/2013,wap p190b,11,0,0
1/18/2013,wap p199b,583,143,143
1/18/2013,wap p236b,9,2,2
1/18/2013,wap p41b,18,9,9
1/18/2013,wap p42b,1,0,0
1/19/2013,wap p190b,6,0,0
1/19/2013,wap p199b,740,179,179
1/19/2013,wap p236b,32,5,5
1/19/2013,wap p41b,11,4,4
1/20/2013,wap p190b,3,0,0
1/20/2013,wap p199b,633,137,137
1/20/2013,wap p236b,20,4,4
1/20/2013,wap p41b,31,6,6
1/20/2013,wap p42b,1,0,0
1/21/2013,wap p190b,7,0,0
1/21/2013,wap p199b,572,113,113
1/21/2013,wap p236b,23,2,2
1/21/2013,wap p41b,41,6,6
1/22/2013,wap p190b,1,0,0
1/22/2013,wap p199b,605,130,130
1/22/2013,wap p236b,18,5,5
1/22/2013,wap p41b,21,6,6
1/22/2013,wap p42b,1,0,0
1/23/2013,wap p199b,569,127,127
1/23/2013,wap p222b,407,47,47
1/23/2013,wap p236b,15,4,4
1/23/2013,wap p41b,21,5,5
1/24/2013,wap p199b,607,159,159
1/24/2013,wap p222b,442,69,69
1/24/2013,wap p236b,17,1,1
1/24/2013,wap p41b,20,4,4
1/25/2013,wap p199b,644,141,141
1/25/2013,wap p222b,407,54,54
