Day,Visits,Subs
1/10/2013,677,209
1/11/2013,922,266
1/12/2013,831,205
1/13/2013,761,197
1/14/2013,704,165
1/15/2013,632,156
1/16/2013,705,189
1/17/2013,721,195
1/18/2013,620,153
1/19/2013,785,186
1/20/2013,683,147
1/21/2013,642,119
1/22/2013,646,140
1/23/2013,1009,181
1/24/2013,1083,224
1/25/2013,1096,199
1/26/2013,1061,181
1/27/2013,1007,197
1/28/2013,793,117
1/29/2013,643,79
1/30/2013,739,92
1/31/2013,998,105
2/1/2013,1384,40
2/2/2013,1155,35
2/3/2013,1497,81
2/4/2013,1512,52
2/5/2013,1516,71
2/6/2013,1561,82
2/7/2013,1514,73
2/8/2013,1697,109
2/9/2013,1587,101
2/10/2013,1458,95
2/11/2013,1394,64
2/12/2013,1449,69
2/13/2013,1444,58
2/14/2013,1179,53
2/15/2013,1206,39
2/16/2013,985,41
2/17/2013,1132,38
2/18/2013,685,11
2/19/2013,637,40
2/20/2013,780,38
2/21/2013,612,13
2/22/2013,661,10
2/23/2013,527,1
2/24/2013,819,52
2/25/2013,339,36
2/26/2013,783,11
2/27/2013,655,0
2/28/2013,700,7
