Day,Visits,%,Submissions,%,Subscribers,%,Active_12,%,Active,Conversion %
02/07/2012,6684,8.7%,584,20.7%,121,71.9%,87,33.9%,41,1.8%
03/07/2012,4441,8.3%,368,20.9%,77,76.6%,59,31.2%,24,1.7%
04/07/2012,4505,9%,404,18.3%,74,75.7%,56,32.4%,24,1.6%
05/07/2012,4340,8.8%,380,17.6%,67,92.5%,62,38.8%,26,1.5%
06/07/2012,4230,8.7%,369,19.2%,71,80.3%,57,32.4%,23,1.7%
07/07/2012,4821,11%,532,22.4%,119,70.6%,84,21.8%,26,2.5%
08/07/2012,4647,10%,465,23.9%,111,76.6%,85,21.6%,24,2.4%
09/07/2012,4016,11%,440,22.7%,100,79%,79,27%,27,2.5%
10/07/2012,4117,10.2%,419,18.1%,76,75%,57,21.1%,16,1.8%
11/07/2012,4767,11.1%,529,21%,111,82%,91,36.9%,41,2.3%
12/07/2012,5482,8.1%,445,25.2%,112,77.7%,87,24.1%,27,2%
13/07/2012,5025,8.3%,415,24.3%,101,70.3%,71,25.7%,26,2%
14/07/2012,5781,8.3%,482,23.7%,114,76.3%,87,27.2%,31,2%
15/07/2012,5950,9.7%,578,21.5%,124,80.6%,100,37.1%,46,2.1%
16/07/2012,4696,12%,565,21.2%,120,74.2%,89,35%,42,2.6%
17/07/2012,5536,12.3%,683,23.4%,160,81.3%,130,33.1%,53,2.9%
18/07/2012,4885,13.1%,638,19.6%,125,72.8%,91,25.6%,32,2.6%
19/07/2012,4960,11.8%,586,18.9%,111,76.6%,85,29.7%,33,2.2%
20/07/2012,5050,9.5%,480,20.8%,100,75%,75,28%,28,2%
21/07/2012,5520,7.5%,413,23%,95,77.9%,74,29.5%,28,1.7%
22/07/2012,4830,8.3%,403,24.1%,97,81.4%,79,36.1%,35,2%
23/07/2012,6088,7.6%,460,21.5%,99,67.7%,67,33.3%,33,1.6%
24/07/2012,5551,8.5%,470,23.2%,109,78%,85,32.1%,35,2%
25/07/2012,6116,8.8%,541,20.7%,112,75%,84,35.7%,40,1.8%
26/07/2012,7878,6.7%,526,19.8%,104,71.2%,74,26.9%,28,1.3%
27/07/2012,7882,6.2%,486,20.8%,101,76.2%,77,28.7%,29,1.3%
28/07/2012,8223,5.1%,416,24.8%,103,74.8%,77,30.1%,31,1.3%
29/07/2012,7089,6.8%,484,19.8%,96,78.1%,75,28.1%,27,1.4%
30/07/2012,7085,5%,355,16.1%,57,63.2%,36,17.5%,10,0.8%
31/07/2012,5372,9.6%,515,21.9%,113,69%,78,29.2%,33,2.1%
01/08/2012,5497,8.5%,467,21.6%,101,76.2%,77,37.6%,38,1.8%
02/08/2012,4536,11.2%,507,19.1%,97,71.1%,69,26.8%,26,2.1%
03/08/2012,5244,12.1%,635,20.3%,129,71.3%,92,32.6%,42,2.5%
04/08/2012,6108,11.3%,692,23.8%,165,70.3%,116,34.5%,57,2.7%
05/08/2012,5291,15.9%,841,22.6%,190,77.9%,148,30%,57,3.6%
06/08/2012,5066,9.3%,469,22.8%,107,75.7%,81,35.5%,38,2.1%
07/08/2012,6763,8.7%,588,18.2%,107,78.5%,84,33.6%,36,1.6%
08/08/2012,6170,10.9%,671,24.6%,165,70.9%,117,31.5%,52,2.7%
09/08/2012,5981,13%,779,19.5%,152,83.6%,127,34.9%,53,2.5%
10/08/2012,5844,7.2%,420,17.6%,74,82.4%,61,36.5%,27,1.3%
11/08/2012,3980,11.1%,442,19.9%,88,81.8%,72,48.9%,43,2.2%
12/08/2012,3528,8.2%,288,21.2%,61,80.3%,49,39.3%,24,1.7%
13/08/2012,3621,12%,434,18.7%,81,82.7%,67,44.4%,36,2.2%
14/08/2012,3541,11.6%,410,27.8%,114,78.9%,90,44.7%,51,3.2%
15/08/2012,3999,9%,359,22.3%,80,75%,60,33.8%,27,2%
16/08/2012,3621,9.3%,335,26.6%,89,73%,65,41.6%,37,2.5%
17/08/2012,3321,8.5%,283,24.4%,69,76.8%,53,33.3%,23,2.1%
18/08/2012,3647,9.7%,355,20%,71,76.1%,54,35.2%,25,1.9%
19/08/2012,4194,4.3%,182,24.7%,45,66.7%,30,24.4%,11,1.1%
20/08/2012,3608,7.6%,274,26.3%,72,77.8%,56,44.4%,32,2%
21/08/2012,3756,8.1%,306,23.2%,71,78.9%,56,43.7%,31,1.9%
22/08/2012,4609,7.4%,339,20.6%,70,80%,56,34.3%,24,1.5%
23/08/2012,4421,9.5%,419,19.3%,81,77.8%,63,33.3%,27,1.8%
24/08/2012,5527,6.4%,351,21.1%,74,70.3%,52,27%,20,1.3%
25/08/2012,5212,6.7%,349,24.4%,85,80%,68,40%,34,1.6%
26/08/2012,5775,5.4%,312,18.6%,58,79.3%,46,31%,18,1%
27/08/2012,3538,8.2%,291,21.6%,63,79.4%,50,34.9%,22,1.8%
28/08/2012,4384,6.1%,266,18%,48,66.7%,32,25%,12,1.1%
29/08/2012,6553,4.3%,280,18.2%,51,84.3%,43,35.3%,18,0.8%
30/08/2012,4759,7%,331,18.7%,62,80.6%,50,40.3%,25,1.3%
31/08/2012,5197,6.8%,352,19%,67,86.6%,58,40.3%,27,1.3%
01/09/2012,3456,6%,207,18.4%,38,81.6%,31,47.4%,18,1.1%
02/09/2012,3509,7.9%,278,15.8%,44,81.8%,36,34.1%,15,1.3%
03/09/2012,3285,9.1%,299,13.7%,41,70.7%,29,41.5%,17,1.2%
04/09/2012,3331,8.9%,296,14.2%,42,76.2%,32,40.5%,17,1.3%
05/09/2012,2126,7.8%,165,20%,33,72.7%,24,42.4%,14,1.6%
06/09/2012,2038,8.9%,181,21%,38,81.6%,31,39.5%,15,1.9%
07/09/2012,2752,16.2%,446,25.6%,114,79.8%,91,49.1%,56,4.1%
08/09/2012,2561,17.4%,445,23.4%,104,68.3%,71,34.6%,36,4.1%
09/09/2012,2198,12.1%,267,19.5%,52,80.8%,42,40.4%,21,2.4%
10/09/2012,1666,16.2%,270,25.2%,68,72.1%,49,35.3%,24,4.1%
11/09/2012,1627,14.3%,232,20.3%,47,70.2%,33,34%,16,2.9%
